"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"CL3E033","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $2x(x + 5) = 0$","$x = 0$ ou $x = -5$","$x = 2$|$x = 5$|$x = -2$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E034","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $(x - 7)(x + 1) = 0$","$x = 7$ ou $x = -1$","$x = -7$|$x = 1$|$x = 0$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E035","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $x^2 - 9 = 0$","$x = 3$ ou $x = -3$","$x = 9$|$x = -9$|$x = 0$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E036","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $(2x - 4)(x + 2) = 0$","$x = 2$ ou $x = -2$","$x = -4$|$x = 4$|$x = 0$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E037","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $(x + 8)(x - 8) = 0$","$x = -8$ ou $x = 8$","$x = 0$|$x = 1$|$x = -1$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E038","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $x^2 = 0$","$x = 0$","$x = 2$|$x = -2$|$x = 1$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E021","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $x + 5 = 12$","$x = 7$","$x = 17$|$x = -7$|$x = 12$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E022","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $2x = 10$","$x = 5$","$x = 20$|$x = -5$|$x = 8$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E023","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $3x - 4 = 5$","$x = 3$","$x = -3$|$x = 1$|$x = 9$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E024","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $x/2 = 6$","$x = 12$","$x = 3$|$x = 6$|$x = -12$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E025","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $5x + 2 = 17$","$x = 3$","$x = 5$|$x = -3$|$x = 15$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E026","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $4x - 8 = 0$","$x = 2$","$x = -2$|$x = 8$|$x = 4$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E027","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $x - 7 = -2$","$x = 5$","$x = -5$|$x = 9$|$x = 2$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E028","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $2x + 3 = 11$","$x = 4$","$x = 8$|$x = -4$|$x = 14$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E029","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $x/3 = 9$","$x = 27$","$x = 3$|$x = 9$|$x = -27$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E030","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $7x = 21$","$x = 3$","$x = 7$|$x = -3$|$x = 21$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E001","3e","calcul_litteral","addition","calcul","QCM","1","30","Simplifier : $2x + 3x$","$5x$","$6x$|$x$|$2x^2$","","flash;calcul_litteral;addition","à valider","fr"
"CL3E002","3e","calcul_litteral","soustraction","calcul","QCM","1","30","Simplifier : $4a - 2a + a$","$3a$","$2a$|$a$|$7a$","","flash;calcul_litteral;soustraction","à valider","fr"
"CL3E003","3e","calcul_litteral","developpement","calcul","QCM","2","35","Développer : $3(x + 2)$","$3x + 6$","$3x + 2$|$x + 6$|$6x + 3$","","flash;calcul_litteral;developpement","à valider","fr"
"CL3E004","3e","calcul_litteral","factorisation","calcul","QCM","2","35","Factoriser : $6y + 9$","$3(2y + 3)$","$2(3y + 4.5)$|$6(y + 1.5)$|$3y + 9$","","flash;calcul_litteral;factorisation","à valider","fr"
"CL3E005","3e","calcul_litteral","parentheses","calcul","QCM","2","35","Simplifier : $5b - (2b + 3)$","$3b - 3$","$7b + 3$|$3b + 3$|$-3b + 3$","","flash;calcul_litteral;parentheses","à valider","fr"
"CL3E006","3e","calcul_litteral","developpement","calcul","QCM","1","30","Développer : $2(a - 4)$","$2a - 8$","$2a + 8$|$a - 8$|$2a - 4$","","flash;calcul_litteral;developpement","à valider","fr"
"CL3E007","3e","calcul_litteral","factorisation","calcul","QCM","2","35","Factoriser : $8x - 12$","$4(2x - 3)$","$2(4x - 6)$|$8(x - 1.5)$|$4x - 12$","","flash;calcul_litteral;factorisation","à valider","fr"
"CL3E008","3e","calcul_litteral","addition","calcul","QCM","1","30","Simplifier : $7m + 2m - 5m$","$4m$","$9m$|$2m$|$-4m$","","flash;calcul_litteral;addition","à valider","fr"
"CL3E009","3e","calcul_litteral","developpement","calcul","QCM","2","35","Développer : $x(x + 5)$","$x^2 + 5x$","$x^2 + x + 5$|$x^2 + 10x$|$x + 5x$","","flash;calcul_litteral;developpement","à valider","fr"
"CL3E010","3e","calcul_litteral","factorisation","calcul","QCM","2","35","Factoriser : $10z + 15$","$5(2z + 3)$","$2(5z + 7.5)$|$10(z + 1.5)$|$5z + 15$","","flash;calcul_litteral;factorisation","à valider","fr"
"CL3E011","3e","calcul_litteral","parentheses","calcul","QCM","2","35","Simplifier : $3p - 2(p + 4)$","$p - 8$","$p + 8$|$5p - 8$|$p + 4$","","flash;calcul_litteral;parentheses","à valider","fr"
"CL3E012","3e","calcul_litteral","developpement","calcul","QCM","1","30","Développer : $4(y - 3)$","$4y - 12$","$4y + 12$|$y - 12$|$4y - 3$","","flash;calcul_litteral;developpement","à valider","fr"
"CL3E013","3e","calcul_litteral","factorisation","calcul","QCM","2","35","Factoriser : $9x - 6$","$3(3x - 2)$","$9(x - 0.66)$|$6(1.5x - 1)$|$3x - 6$","","flash;calcul_litteral;factorisation","à valider","fr"
"CL3E014","3e","calcul_litteral","addition","calcul","QCM","1","30","Simplifier : $8a + 2a - 5a$","$5a$","$10a$|$3a$|$-5a$","","flash;calcul_litteral;addition","à valider","fr"
"CL3E015","3e","calcul_litteral","developpement","calcul","QCM","2","35","Développer : $2(x + 7)$","$2x + 14$","$2x + 7$|$x + 14$|$14x + 2$","","flash;calcul_litteral;developpement","à valider","fr"
"CL3E016","3e","calcul_litteral","factorisation","calcul","QCM","2","35","Factoriser : $12y + 18$","$6(2y + 3)$","$3(4y + 6)$|$12(y + 1.5)$|$6y + 18$","","flash;calcul_litteral;factorisation","à valider","fr"
"CL3E017","3e","calcul_litteral","parentheses","calcul","QCM","2","35","Simplifier : $6b - (b + 5)$","$5b - 5$","$7b + 5$|$5b + 5$|$-5b + 5$","","flash;calcul_litteral;parentheses","à valider","fr"
"CL3E018","3e","calcul_litteral","developpement","calcul","QCM","1","30","Développer : $5(a - 2)$","$5a - 10$","$5a + 10$|$a - 10$|$5a - 2$","","flash;calcul_litteral;developpement","à valider","fr"
"CL3E019","3e","calcul_litteral","factorisation","calcul","QCM","2","35","Factoriser : $14x - 21$","$7(2x - 3)$","$2(7x - 10.5)$|$14(x - 1.5)$|$7x - 21$","","flash;calcul_litteral;factorisation","à valider","fr"
"CL3E020","3e","calcul_litteral","addition","calcul","QCM","1","30","Simplifier : $9m + 3m - 4m$","$8m$","$12m$|$6m$|$-8m$","","flash;calcul_litteral;addition","à valider","fr"
"CL3E039","3e","calcul_litteral","identite_remarquable","calcul","QCM","2","40","Développer : $(a + b)^2$","$a^2 + 2ab + b^2$","$a^2 + b^2$|$a^2 + ab + b^2$|$a^2 - 2ab + b^2$","","flash;calcul_litteral;identite_remarquable","à valider","fr"
"CL3E040","3e","calcul_litteral","identite_remarquable","calcul","QCM","2","40","Développer : $(a - b)^2$","$a^2 - 2ab + b^2$","$a^2 + b^2$|$a^2 - ab + b^2$|$a^2 + 2ab + b^2$","","flash;calcul_litteral;identite_remarquable","à valider","fr"
"CL3E041","3e","calcul_litteral","identite_remarquable","calcul","QCM","2","40","Développer : $(x + 3)^2$","$x^2 + 6x + 9$","$x^2 + 9$|$x^2 + 3x + 9$|$x^2 - 6x + 9$","","flash;calcul_litteral;identite_remarquable","à valider","fr"
"CL3E042","3e","calcul_litteral","identite_remarquable","calcul","QCM","2","40","Développer : $(y - 5)^2$","$y^2 - 10y + 25$","$y^2 + 25$|$y^2 - 5y + 25$|$y^2 + 10y + 25$","","flash;calcul_litteral;identite_remarquable","à valider","fr"
"CL3E043","3e","calcul_litteral","identite_remarquable","calcul","QCM","2","40","Développer : $(m + 2)^2$","$m^2 + 4m + 4$","$m^2 + 2m + 4$|$m^2 + 4$|$m^2 - 4m + 4$","","flash;calcul_litteral;identite_remarquable","à valider","fr"
"CL3E044","3e","calcul_litteral","identite_remarquable","calcul","QCM","2","40","Développer : $(p - 7)^2$","$p^2 - 14p + 49$","$p^2 + 49$|$p^2 - 7p + 49$|$p^2 + 14p + 49$","","flash;calcul_litteral;identite_remarquable","à valider","fr"
"CL3E045","3e","calcul_litteral","identite_remarquable","calcul","QCM","2","40","Développer : $(a + b)(a - b)$","$a^2 - b^2$","$a^2 + b^2$|$a^2 - 2ab + b^2$|$a^2 + 2ab + b^2$","","flash;calcul_litteral;identite_remarquable","à valider","fr"
"CL3E046","3e","calcul_litteral","identite_remarquable","calcul","QCM","2","40","Développer : $(x + 4)(x - 4)$","$x^2 - 16$","$x^2 + 16$|$x^2 - 8x + 16$|$x^2 + 8x + 16$","","flash;calcul_litteral;identite_remarquable","à valider","fr"
"CL3E047","3e","calcul_litteral","identite_remarquable","calcul","QCM","2","40","Développer : $(y + 6)(y - 6)$","$y^2 - 36$","$y^2 + 36$|$y^2 - 12y + 36$|$y^2 + 12y + 36$","","flash;calcul_litteral;identite_remarquable","à valider","fr"
"CL3E048","3e","calcul_litteral","identite_remarquable","calcul","QCM","2","40","Développer : $(m - 3)(m + 3)$","$m^2 - 9$","$m^2 + 9$|$m^2 - 6m + 9$|$m^2 + 6m + 9$","","flash;calcul_litteral;identite_remarquable","à valider","fr"

